Instance,opt-cost,2D-Ptr-cost
Golden_1,5623.47,6990.4990392344425
Golden_13,857.189,1218.060964210566
Golden_14,1080.55,1557.7994950649093
Golden_15,1337.2677,2064.6145545120653
Golden_16,1611.2769688292835,2491.182448440701
Golden_17,707.756,924.0946915303202
Golden_18,995.133,1372.163755592207
Golden_2,8404.61,11975.801210416612
Golden_9,579.702026,740.4252485278085
Li_22,14499.04468,22784.603895991284
Li_25,16665.7,27551.69236142623
Loggi-n401-k23,336903.0,398015.0
M-n101-k10,820.0,1044.1178615393012
M-n121-k7,1034.0,1259.153138909751
M-n151-k12,1015.0,1389.1387024751311
M-n200-k16,1274.0,1771.5087822806227
M-n200-k17,1275.0,1771.5087822806227
X-n101-k25,27591.0,32428.53234510672
X-n106-k14,26362.0,27049.43271327828
X-n110-k13,14971.0,17712.05024850728
X-n115-k10,12747.0,16686.091832116308
X-n120-k6,13332.0,16102.969618346235
X-n125-k30,55539.0,64277.08612928929
X-n129-k18,28940.0,33096.36699192884
X-n134-k13,10916.0,12789.359713779346
X-n139-k10,13590.0,17622.89042262115
X-n143-k7,15700.0,20448.8463776345
X-n148-k46,43448.0,51999.02436839547
X-n153-k22,21220.0,25469.76722319731
X-n157-k13,16876.0,18897.714893653603
X-n162-k11,14138.0,18057.23913393358
X-n167-k10,20557.0,25559.47513135898
X-n172-k51,45607.0,59437.44231809496
X-n176-k26,47812.0,59876.16930614
X-n181-k23,25569.0,29043.314324718333
X-n186-k15,24145.0,29964.487986204764
X-n190-k8,16980.0,19770.773596676743
X-n195-k51,44225.0,56479.256948970295
X-n200-k36,58578.0,66947.10247589138
X-n204-k19,19565.0,23897.526618856013
X-n209-k16,30656.0,38449.214253611906
X-n223-k34,40437.0,49282.587373259594
X-n228-k23,25742.0,32699.03210416554
X-n233-k16,19230.0,26294.944546895054
X-n237-k14,27042.0,34720.48821154908
X-n242-k48,82751.0,107408.910445784
X-n247-k50,37274.0,47707.83993695675
X-n251-k28,38684.0,46880.57789743777
X-n256-k16,18839.0,24934.928654790252
X-n261-k13,26558.0,36197.47330255216
X-n266-k58,75478.0,89083.66228536055
X-n270-k35,35291.0,43996.565902357885
X-n275-k28,21245.0,25429.467539086287
X-n280-k17,33503.0,45226.37748044352
X-n289-k60,95151.0,113476.04475754
X-n294-k50,47161.0,67013.32000059624
X-n298-k31,34231.0,46383.49043591121
X-n303-k21,21736.0,30439.10424911077
X-n313-k71,94043.0,127999.09925232473
X-n322-k28,29834.0,40047.124262330835
X-n327-k20,27532.0,38601.683676115696
X-n336-k84,139111.0,246529.0943176164
X-n344-k43,42050.0,55463.31838078827
X-n351-k40,25896.0,35630.587412133034
X-n359-k29,51505.0,68555.44970675973
X-n376-k94,147713.0,234170.41308093313
X-n384-k52,65940.0,84502.27627000154
X-n393-k38,38260.0,52291.17846382614
X-n401-k29,66154.0,83215.4555637358
X-n420-k130,107798.0,177284.7133679534
X-n429-k61,65449.0,89700.99631642632
X-n439-k37,36391.0,48389.07299561826
X-n449-k29,55233.0,78536.3866895511
X-n469-k138,221824.0,448134.09540317336
X-n480-k70,89449.0,108744.06130422781
X-n491-k59,66483.0,92941.62332707536
X-n502-k39,69226.0,98604.59703373606
X-n524-k153,154593.0,278050.8024989076
X-n536-k96,94846.0,120481.63636722368
X-n573-k30,50673.0,65520.475922521495
X-n586-k159,190316.0,347008.5279779057
X-n599-k92,108451.0,145215.91479340295
X-n613-k62,59535.0,112918.12765702867
X-n627-k43,62164.0,82259.53846290268
X-n641-k35,63684.0,90260.89178293815
X-n655-k131,106780.0,131285.00224103368
X-n685-k75,68205.0,126897.28163223209
X-n733-k159,136187.0,245780.5090367761
X-n749-k98,77269.0,114104.55734342696
X-n819-k171,158121.0,267279.1500539176
X-n876-k59,99299.0,137060.60066827
X-n916-k207,329179.0,735437.9030480824
