Instance,opt-cost,RANS-cost
Golden_1,5623.47,10554.012268508335
Golden_13,857.189,1365.5652956279962
Golden_14,1080.55,1895.217684697035
Golden_15,1337.2677,4490.309887534506
Golden_16,1611.2769688292835,4253.779401838951
Golden_17,707.756,1964.0138476742225
Golden_18,995.133,3352.5957560044803
Golden_2,8404.61,17912.231092889146
Golden_9,579.702026,909.4824557871636
Li_22,14499.04468,37404.001061086565
Li_25,16665.7,44377.373377866104
Loggi-n401-k23,336903.0,501331.0
M-n101-k10,820.0,1218.6594554389499
M-n121-k7,1034.0,1417.5114589138643
M-n151-k12,1015.0,1747.260056857502
M-n200-k16,1274.0,2214.3325567749816
M-n200-k17,1275.0,2214.3325567749816
X-n101-k25,27591.0,37783.16505383598
X-n106-k14,26362.0,30329.211376798063
X-n110-k13,14971.0,20411.71124008105
X-n115-k10,12747.0,20591.086288017003
X-n120-k6,13332.0,16880.23878754351
X-n125-k30,55539.0,71846.5499067741
X-n129-k18,28940.0,47667.19583310181
X-n134-k13,10916.0,17452.175205460193
X-n139-k10,13590.0,19800.792004114777
X-n143-k7,15700.0,28011.06220299284
X-n148-k46,43448.0,64641.734101849215
X-n153-k22,21220.0,29983.529843928536
X-n157-k13,16876.0,21840.21673906921
X-n162-k11,14138.0,19934.994431042327
X-n167-k10,20557.0,30791.258415571247
X-n172-k51,45607.0,66306.3311937279
X-n176-k26,47812.0,70442.65706282288
X-n181-k23,25569.0,31058.14631911338
X-n186-k15,24145.0,35827.44327681171
X-n190-k8,16980.0,27596.43098137197
X-n195-k51,44225.0,84226.31204653534
X-n200-k36,58578.0,76700.61925742113
X-n204-k19,19565.0,28797.663540889047
X-n209-k16,30656.0,47404.588050052975
X-n223-k34,40437.0,80501.10385716819
X-n228-k23,25742.0,43555.78263003982
X-n233-k16,19230.0,39376.89322223475
X-n237-k14,27042.0,36579.06921192064
X-n242-k48,82751.0,221394.79249028003
X-n247-k50,37274.0,54516.28892897078
X-n251-k28,38684.0,56197.03746377378
X-n256-k16,18839.0,26854.20305144073
X-n261-k13,26558.0,48367.802981219145
X-n266-k58,75478.0,175446.49797406813
X-n270-k35,35291.0,55327.93086437543
X-n275-k28,21245.0,28755.65973062957
X-n280-k17,33503.0,64131.195589253526
X-n289-k60,95151.0,150625.10846157596
X-n294-k50,47161.0,125563.63962284528
X-n298-k31,34231.0,68872.36026140842
X-n303-k21,21736.0,38153.25564742062
X-n313-k71,94043.0,158066.31110571357
X-n322-k28,29834.0,50693.0565223562
X-n327-k20,27532.0,46051.26171269235
X-n336-k84,139111.0,204052.21876519217
X-n344-k43,42050.0,77125.5280838562
X-n351-k40,25896.0,49869.80119652295
X-n359-k29,51505.0,83907.171223243
X-n376-k94,147713.0,239188.19144615854
X-n384-k52,65940.0,110238.28026903901
X-n393-k38,38260.0,74790.9257420714
X-n401-k29,66154.0,114704.00026809187
X-n420-k130,107798.0,219871.69276883418
X-n429-k61,65449.0,126212.20038885737
X-n439-k37,36391.0,59206.64808468729
X-n449-k29,55233.0,96918.9424972169
X-n469-k138,221824.0,468658.755121629
X-n480-k70,89449.0,179162.7928408628
X-n491-k59,66483.0,154855.2805650738
X-n502-k39,69226.0,88130.24071582776
X-n524-k153,154593.0,222786.2790572637
X-n536-k96,94846.0,205367.36981006368
X-n573-k30,50673.0,84461.92132674824
X-n586-k159,190316.0,424627.0210265886
X-n599-k92,108451.0,258830.00473877718
X-n613-k62,59535.0,271979.8110568929
X-n627-k43,62164.0,93868.30017751841
X-n641-k35,63684.0,102151.38960875831
X-n655-k131,106780.0,133873.166860749
X-n685-k75,68205.0,248261.86887446282
X-n733-k159,136187.0,452050.227822301
X-n749-k98,77269.0,236781.6263456702
X-n819-k171,158121.0,460613.3858908617
X-n876-k59,99299.0,164774.12779662595
X-n916-k207,329179.0,772458.2817907459
